productivity,attendance,teamwork,manager_rating
86.4,79.2,89.8,79.0
66.3,82.5,87.8,71.4
91.5,54.2,54.0,65.1
81.8,70.8,71.8,78.6
45.7,52.1,76.4,49.5
98.5,74.7,92.1,92.0
85.7,66.5,76.2,73.1
87.2,57.2,64.8,75.1
47.7,55.2,62.5,50.8
67.0,79.4,65.6,64.5
62.2,58.5,79.1,61.1
95.6,96.3,92.0,91.8
78.6,79.1,67.2,67.7
89.4,67.3,54.9,72.1
66.6,79.5,54.2,60.0
53.6,51.1,84.8,56.3
73.3,97.9,89.0,80.4
43.8,74.1,46.3,39.4
89.7,89.1,44.0,73.7
77.9,54.1,75.7,74.1
85.5,74.3,48.8,67.1
61.3,74.5,89.5,61.6
98.2,96.9,58.6,85.2
93.6,78.6,48.6,79.2
86.7,73.7,95.3,81.9
51.7,63.3,49.9,52.7
68.0,66.6,57.1,63.3
42.6,76.0,49.2,47.3
49.3,71.9,46.9,49.0
81.0,51.1,41.3,70.6
84.7,91.3,43.3,70.5
98.1,94.8,50.5,74.0
59.5,57.0,43.2,56.0
62.2,77.7,75.5,60.8
68.2,55.4,80.8,64.1
51.4,83.6,63.6,59.4
47.8,64.1,59.1,40.9
68.5,83.0,70.3,61.3
53.6,86.3,92.5,56.6
80.2,88.4,91.1,76.3
66.2,55.4,42.6,55.0
90.0,95.8,50.9,79.3
82.0,61.5,54.2,68.0
58.7,51.9,55.0,45.3
89.9,77.7,74.3,70.3
88.3,68.5,65.0,74.9
63.2,91.5,43.0,56.1
57.3,90.4,62.4,60.6
80.9,65.9,71.4,74.0
48.4,97.6,46.1,51.2
52.0,64.5,90.0,60.5
40.4,75.8,43.1,42.0
87.2,62.8,95.5,82.4
79.9,96.8,45.9,67.2
82.3,58.2,90.6,74.5
86.8,52.2,94.2,78.6
67.5,71.8,98.8,73.8
74.1,99.6,88.1,75.5
48.4,94.6,86.8,61.9
46.9,87.4,78.5,54.6
80.1,94.5,86.7,79.0
68.3,94.7,48.1,66.2
73.9,75.9,72.2,60.8
85.9,65.8,70.9,68.9
78.1,88.6,91.5,72.4
73.2,83.1,67.8,59.3
73.6,68.7,63.1,62.4
58.2,54.7,78.4,59.8
41.8,87.3,56.0,46.0
66.2,63.1,48.4,56.8
52.9,96.8,68.7,63.1
64.5,62.0,65.0,64.1
91.2,56.1,54.0,71.3
54.0,91.6,62.1,62.3
43.5,57.7,62.0,44.6
56.9,59.0,59.6,48.8
57.6,80.0,62.8,54.8
79.7,93.7,81.1,71.8
73.4,59.8,57.8,58.6
87.0,65.5,96.9,79.6
79.9,88.9,95.0,83.5
64.4,98.6,68.9,73.1
88.8,75.0,59.7,69.4
50.0,57.2,72.1,52.2
41.4,50.7,90.9,44.4
45.4,61.5,79.2,52.1
83.3,56.6,88.3,74.5
67.7,83.9,72.0,59.0
49.7,56.1,78.0,55.3
70.1,75.3,57.3,60.3
49.1,84.7,84.1,55.8
81.8,79.1,52.1,65.2
66.8,60.0,81.7,61.2
62.9,90.2,91.6,70.9
58.1,85.8,47.9,54.2
77.8,86.9,76.9,75.7
61.7,56.6,45.7,52.9
45.3,56.2,83.5,55.5
47.1,96.4,45.1,48.0
97.7,69.9,96.2,82.3
94.5,65.0,48.2,78.2
82.0,74.4,97.5,78.3
56.0,83.1,88.1,67.2
98.2,97.8,75.6,90.1
86.7,64.3,87.0,77.7
83.0,96.2,87.7,83.2
67.0,51.2,96.8,73.8
56.3,77.8,55.2,62.5
45.8,81.7,75.4,53.5
94.2,55.3,45.7,71.9
67.3,57.0,77.0,66.8
52.1,71.0,50.3,45.8
58.4,98.3,73.9,64.9
74.8,79.8,74.3,70.5
50.6,96.7,68.0,58.3
91.4,90.2,71.4,78.7
85.5,73.4,85.8,72.5
83.2,89.2,88.0,72.4
65.9,50.9,69.5,54.3
77.6,55.5,76.0,66.5
